DATE,THREEFF2
1990-01-02,7.8077
1990-01-03,7.8637
1990-01-04,7.8578
1990-01-05,7.8623
1990-01-08,7.8782
1990-01-09,7.8802
1990-01-10,7.8837
1990-01-11,7.8855
1990-01-12,7.9294
1990-01-15,.
1990-01-16,8.0533
1990-01-17,8.0572
1990-01-18,8.1877
1990-01-19,8.1540
1990-01-22,8.1666
1990-01-23,8.1454
1990-01-24,8.2315
1990-01-25,8.2930
1990-01-26,8.3771
1990-01-29,8.3903
1990-01-30,8.4065
1990-01-31,8.3528
1990-02-01,8.3216
1990-02-02,8.3788
1990-02-05,8.4019
1990-02-06,8.4456
1990-02-07,8.4585
1990-02-08,8.4100
1990-02-09,8.2730
1990-02-12,8.3074
1990-02-13,8.2560
1990-02-14,8.2830
1990-02-15,8.3541
1990-02-16,8.3645
1990-02-19,.
1990-02-20,8.5378
1990-02-21,8.5589
1990-02-22,8.5191
1990-02-23,8.4934
1990-02-26,8.4340
1990-02-27,8.3756
1990-02-28,8.4481
1990-03-01,8.5360
1990-03-02,8.5165
1990-03-05,8.5910
1990-03-06,8.5737
1990-03-07,8.5481
1990-03-08,8.5432
1990-03-09,8.6347
1990-03-12,8.6622
1990-03-13,8.7296
1990-03-14,8.6913
1990-03-15,8.6895
1990-03-16,8.6358
1990-03-19,8.6360
1990-03-20,8.6181
1990-03-21,8.5990
1990-03-22,8.5792
1990-03-23,8.5689
1990-03-26,8.5595
1990-03-27,8.5699
1990-03-28,8.5837
1990-03-29,8.6288
1990-03-30,8.6903
1990-04-02,8.7030
1990-04-03,8.6947
1990-04-04,8.6299
1990-04-05,8.6266
1990-04-06,8.6047
1990-04-09,8.6248
1990-04-10,8.6315
1990-04-11,8.6431
1990-04-12,8.6498
1990-04-13,.
1990-04-16,8.6801
1990-04-17,8.7727
1990-04-18,8.8762
1990-04-19,8.9094
1990-04-20,8.9484
1990-04-23,8.9996
1990-04-24,9.0494
1990-04-25,9.0719
1990-04-26,9.1493
1990-04-27,9.1755
1990-04-30,9.1618
1990-05-01,9.1800
1990-05-02,9.2048
1990-05-03,9.1627
1990-05-04,8.9374
1990-05-07,8.9115
1990-05-08,8.8522
1990-05-09,8.9107
1990-05-10,8.8612
1990-05-11,8.7012
1990-05-14,8.6336
1990-05-15,8.6574
1990-05-16,8.6624
1990-05-17,8.6747
1990-05-18,8.7373
1990-05-21,8.7405
1990-05-22,8.6627
1990-05-23,8.6056
1990-05-24,8.5969
1990-05-25,8.6228
1990-05-28,.
1990-05-29,8.6099
1990-05-30,8.5748
1990-05-31,8.5616
1990-06-01,8.3955
1990-06-04,8.3585
1990-06-05,8.3796
1990-06-06,8.3871
1990-06-07,8.3748
1990-06-08,8.3772
1990-06-11,8.3956
1990-06-12,8.3991
1990-06-13,8.3188
1990-06-14,8.2769
1990-06-15,8.3447
1990-06-18,8.4082
1990-06-19,8.4341
1990-06-20,8.4688
1990-06-21,8.4553
1990-06-22,8.4346
1990-06-25,8.4832
1990-06-26,8.4808
1990-06-27,8.4379
1990-06-28,8.3714
1990-06-29,8.3058
1990-07-02,8.2947
1990-07-03,8.2633
1990-07-04,.
1990-07-05,8.2645
1990-07-06,8.3641
1990-07-09,8.4313
1990-07-10,8.4500
1990-07-11,8.4408
1990-07-12,8.3297
1990-07-13,8.2619
1990-07-16,8.2481
1990-07-17,8.2394
1990-07-18,8.2576
1990-07-19,8.2632
1990-07-20,8.2197
1990-07-23,8.2049
1990-07-24,8.2478
1990-07-25,8.2339
1990-07-26,8.2214
1990-07-27,8.1534
1990-07-30,8.0569
1990-07-31,8.0291
1990-08-01,7.9506
1990-08-02,8.0038
1990-08-03,7.9903
1990-08-06,8.1712
1990-08-07,8.2984
1990-08-08,8.3322
1990-08-09,8.2634
1990-08-10,8.2487
1990-08-13,8.2574
1990-08-14,8.2206
1990-08-15,8.1870
1990-08-16,8.2911
1990-08-17,8.3463
1990-08-20,8.3719
1990-08-21,8.4069
1990-08-22,8.4582
1990-08-23,8.5355
1990-08-24,8.5957
1990-08-27,8.5115
1990-08-28,8.5323
1990-08-29,8.4740
1990-08-30,8.4591
1990-08-31,8.4434
1990-09-03,.
1990-09-04,8.4645
1990-09-05,8.4217
1990-09-06,8.4113
1990-09-07,8.3853
1990-09-10,8.4170
1990-09-11,8.4095
1990-09-12,8.3831
1990-09-13,8.3615
1990-09-14,8.3898
1990-09-17,8.4148
1990-09-18,8.4128
1990-09-19,8.4157
1990-09-20,8.4450
1990-09-21,8.4916
1990-09-24,8.5576
1990-09-25,8.5738
1990-09-26,8.5689
1990-09-27,8.4882
1990-09-28,8.4100
1990-10-01,8.3279
1990-10-02,8.2920
1990-10-03,8.2812
1990-10-04,8.2478
1990-10-05,8.2145
1990-10-08,.
1990-10-09,8.3569
1990-10-10,8.4280
1990-10-11,8.4616
1990-10-12,8.4034
1990-10-15,8.3638
1990-10-16,8.3423
1990-10-17,8.3143
1990-10-18,8.2584
1990-10-19,8.1755
1990-10-22,8.1570
1990-10-23,8.1549
1990-10-24,8.1512
1990-10-25,8.1104
1990-10-26,8.1168
1990-10-29,8.1607
1990-10-30,8.1787
1990-10-31,8.1366
1990-11-01,8.0443
1990-11-02,8.0288
1990-11-05,7.9733
1990-11-06,7.9700
1990-11-07,8.0120
1990-11-08,8.0164
1990-11-09,7.9462
1990-11-12,.
1990-11-13,7.8618
1990-11-14,7.8321
1990-11-15,7.8360
1990-11-16,7.7890
1990-11-19,7.8243
1990-11-20,7.8130
1990-11-21,7.7502
1990-11-22,.
1990-11-23,7.7436
1990-11-26,7.7460
1990-11-27,7.7643
1990-11-28,7.8100
1990-11-29,7.8410
1990-11-30,7.8091
1990-12-03,7.7698
1990-12-04,7.7305
1990-12-05,7.7055
1990-12-06,7.7202
1990-12-07,7.5844
1990-12-10,7.5299
1990-12-11,7.4951
1990-12-12,7.4647
1990-12-13,7.5422
1990-12-14,7.6139
1990-12-17,7.6094
1990-12-18,7.5826
1990-12-19,7.5437
1990-12-20,7.5962
1990-12-21,7.6787
1990-12-24,7.7814
1990-12-25,.
1990-12-26,7.7613
1990-12-27,7.7312
1990-12-28,7.7509
1990-12-31,7.6871
1991-01-01,.
1991-01-02,7.5754
1991-01-03,7.5171
1991-01-04,7.5880
1991-01-07,7.6776
1991-01-08,7.6824
1991-01-09,7.7482
1991-01-10,7.7100
1991-01-11,7.7276
1991-01-14,7.7743
1991-01-15,7.7811
1991-01-16,7.8328
1991-01-17,7.7444
1991-01-18,7.7155
1991-01-21,.
1991-01-22,7.7195
1991-01-23,7.6908
1991-01-24,7.6478
1991-01-25,7.6831
1991-01-28,7.6805
1991-01-29,7.6528
1991-01-30,7.6377
1991-01-31,7.6098
1991-02-01,7.4441
1991-02-04,7.3838
1991-02-05,7.3465
1991-02-06,7.3451
1991-02-07,7.3591
1991-02-08,7.3462
1991-02-11,7.3475
1991-02-12,7.3445
1991-02-13,7.3406
1991-02-14,7.3404
1991-02-15,7.3504
1991-02-18,.
1991-02-19,7.3894
1991-02-20,7.4113
1991-02-21,7.4526
1991-02-22,7.5160
1991-02-25,7.5290
1991-02-26,7.5786
1991-02-27,7.6001
1991-02-28,7.6191
1991-03-01,7.7410
1991-03-04,7.7613
1991-03-05,7.7361
1991-03-06,7.7514
1991-03-07,7.7264
1991-03-08,7.7348
1991-03-11,7.7052
1991-03-12,7.7267
1991-03-13,7.6715
1991-03-14,7.6492
1991-03-15,7.7158
1991-03-18,7.7945
1991-03-19,7.9198
1991-03-20,7.9093
1991-03-21,7.8656
1991-03-22,7.8491
1991-03-25,7.8492
1991-03-26,7.8590
1991-03-27,7.8161
1991-03-28,7.7804
1991-03-29,.
1991-04-01,7.7719
1991-04-02,7.7272
1991-04-03,7.7308
1991-04-04,7.6964
1991-04-05,7.6664
1991-04-08,7.6520
1991-04-09,7.6876
1991-04-10,7.7727
1991-04-11,7.7704
1991-04-12,7.6967
1991-04-15,7.6760
1991-04-16,7.6821
1991-04-17,7.6684
1991-04-18,7.7497
1991-04-19,7.8123
1991-04-22,7.8520
1991-04-23,7.8282
1991-04-24,7.7570
1991-04-25,7.7395
1991-04-26,7.7366
1991-04-29,7.7362
1991-04-30,7.6817
1991-05-01,7.6529
1991-05-02,7.6193
1991-05-03,7.6657
1991-05-06,7.6895
1991-05-07,7.6975
1991-05-08,7.7008
1991-05-09,7.7030
1991-05-10,7.7551
1991-05-13,7.7371
1991-05-14,7.7668
1991-05-15,7.7596
1991-05-16,7.7527
1991-05-17,7.7439
1991-05-20,7.7605
1991-05-21,7.7378
1991-05-22,7.7170
1991-05-23,7.7165
1991-05-24,7.7127
1991-05-27,.
1991-05-28,7.6763
1991-05-29,7.6680
1991-05-30,7.6340
1991-05-31,7.6671
1991-06-03,7.7530
1991-06-04,7.7709
1991-06-05,7.8208
1991-06-06,7.8785
1991-06-07,7.9800
1991-06-10,8.0080
1991-06-11,8.0221
1991-06-12,8.0858
1991-06-13,8.0904
1991-06-14,8.0385
1991-06-17,8.0318
1991-06-18,8.0342
1991-06-19,8.0303
1991-06-20,7.9843
1991-06-21,8.0013
1991-06-24,8.0260
1991-06-25,8.0363
1991-06-26,8.0419
1991-06-27,8.0255
1991-06-28,7.9600
1991-07-01,7.9599
1991-07-02,7.9802
1991-07-03,7.9713
1991-07-04,.
1991-07-05,8.0352
1991-07-08,8.0424
1991-07-09,8.0481
1991-07-10,8.0314
1991-07-11,7.9784
1991-07-12,7.9187
1991-07-15,7.9090
1991-07-16,7.9008
1991-07-17,7.9317
1991-07-18,7.9352
1991-07-19,7.9043
1991-07-22,7.8997
1991-07-23,7.9178
1991-07-24,7.8584
1991-07-25,7.8122
1991-07-26,7.7887
1991-07-29,7.7701
1991-07-30,7.7636
1991-07-31,7.7272
1991-08-01,7.7349
1991-08-02,7.5943
1991-08-05,7.5481
1991-08-06,7.4554
1991-08-07,7.4152
1991-08-08,7.4254
1991-08-09,7.4087
1991-08-12,7.3917
1991-08-13,7.3610
1991-08-14,7.2716
1991-08-15,7.2434
1991-08-16,7.2117
1991-08-19,7.1744
1991-08-20,7.1270
1991-08-21,7.1585
1991-08-22,7.1352
1991-08-23,7.2245
1991-08-26,7.2824
1991-08-27,7.2674
1991-08-28,7.1826
1991-08-29,7.1091
1991-08-30,7.1670
1991-09-02,.
1991-09-03,7.1655
1991-09-04,7.1603
1991-09-05,7.1696
1991-09-06,7.1085
1991-09-09,7.0630
1991-09-10,7.0508
1991-09-11,7.0585
1991-09-12,7.0166
1991-09-13,6.9857
1991-09-16,6.9734
1991-09-17,6.9660
1991-09-18,6.9693
1991-09-19,6.9762
1991-09-20,6.9511
1991-09-23,6.9451
1991-09-24,6.9481
1991-09-25,6.9568
1991-09-26,6.9331
1991-09-27,6.8674
1991-09-30,6.8258
1991-10-01,6.7996
1991-10-02,6.7948
1991-10-03,6.7818
1991-10-04,6.7221
1991-10-07,6.6974
1991-10-08,6.6999
1991-10-09,6.7411
1991-10-10,6.8006
1991-10-11,6.7382
1991-10-14,.
1991-10-15,6.6896
1991-10-16,6.6673
1991-10-17,6.7376
1991-10-18,6.7412
1991-10-21,6.7940
1991-10-22,6.8411
1991-10-23,.
1991-10-24,6.8121
1991-10-25,6.8219
1991-10-28,6.8039
1991-10-29,6.6911
1991-10-30,6.6425
1991-10-31,6.6054
1991-11-01,6.5804
1991-11-04,6.5969
1991-11-05,6.6506
1991-11-06,6.6100
1991-11-07,6.5576
1991-11-08,6.5567
1991-11-11,.
1991-11-12,6.5403
1991-11-13,6.5758
1991-11-14,6.5337
1991-11-15,6.4991
1991-11-18,6.4893
1991-11-19,6.4799
1991-11-20,6.4956
1991-11-21,6.4826
1991-11-22,6.5008
1991-11-25,6.5365
1991-11-26,6.5063
1991-11-27,6.4919
1991-11-28,.
1991-11-29,6.4532
1991-12-02,6.3841
1991-12-03,6.3234
1991-12-04,6.2128
1991-12-05,6.2100
1991-12-06,6.2055
1991-12-09,6.1394
1991-12-10,6.1280
1991-12-11,6.1215
1991-12-12,6.1023
1991-12-13,6.1375
1991-12-16,6.1300
1991-12-17,6.0959
1991-12-18,6.1346
1991-12-19,6.0940
1991-12-20,5.9499
1991-12-23,5.9013
1991-12-24,5.9148
1991-12-25,.
1991-12-26,5.9231
1991-12-27,5.9119
1991-12-30,5.8682
1991-12-31,5.8217
1992-01-01,.
1992-01-02,5.8550
1992-01-03,5.9172
1992-01-06,5.8959
1992-01-07,5.8259
1992-01-08,5.8227
1992-01-09,5.8737
1992-01-10,5.9546
1992-01-13,6.0535
1992-01-14,6.1731
1992-01-15,6.2526
1992-01-16,6.3213
1992-01-17,6.3086
1992-01-20,.
1992-01-21,6.2254
1992-01-22,6.2276
1992-01-23,6.3006
1992-01-24,6.3766
1992-01-27,6.4007
1992-01-28,6.3351
1992-01-29,6.3957
1992-01-30,6.4511
1992-01-31,6.4463
1992-02-03,6.4966
1992-02-04,6.4552
1992-02-05,6.3979
1992-02-06,6.3626
1992-02-07,6.3258
1992-02-10,6.3180
1992-02-11,6.3359
1992-02-12,6.3842
1992-02-13,6.5105
1992-02-14,6.5703
1992-02-17,.
1992-02-18,6.6257
1992-02-19,6.6250
1992-02-20,6.6233
1992-02-21,6.7090
1992-02-24,6.7674
1992-02-25,6.7515
1992-02-26,6.6692
1992-02-27,6.6483
1992-02-28,6.5740
1992-03-02,6.6874
1992-03-03,6.7329
1992-03-04,6.7470
1992-03-05,6.8577
1992-03-06,6.8571
1992-03-09,6.8031
1992-03-10,6.8096
1992-03-11,6.8883
1992-03-12,7.0257
1992-03-13,7.1666
1992-03-16,7.2083
1992-03-17,7.1725
1992-03-18,7.1742
1992-03-19,7.1403
1992-03-20,7.2013
1992-03-23,7.2119
1992-03-24,7.1274
1992-03-25,7.0752
1992-03-26,7.0915
1992-03-27,7.0771
1992-03-30,7.0446
1992-03-31,7.0284
1992-04-01,6.9295
1992-04-02,6.9159
1992-04-03,6.8173
1992-04-06,6.7689
1992-04-07,6.7461
1992-04-08,6.7497
1992-04-09,6.5896
1992-04-10,6.5782
1992-04-13,6.5408
1992-04-14,6.5481
1992-04-15,6.5947
1992-04-16,6.6943
1992-04-17,.
1992-04-20,6.8455
1992-04-21,6.8669
1992-04-22,6.8648
1992-04-23,6.8827
1992-04-24,6.8375
1992-04-27,6.8720
1992-04-28,6.8539
1992-04-29,6.8533
1992-04-30,6.8717
1992-05-01,6.8076
1992-05-04,6.7959
1992-05-05,6.7680
1992-05-06,6.7180
1992-05-07,6.7384
1992-05-08,6.6812
1992-05-11,6.6435
1992-05-12,6.5966
1992-05-13,6.5585
1992-05-14,6.5381
1992-05-15,6.4958
1992-05-18,6.4759
1992-05-19,6.3774
1992-05-20,6.4221
1992-05-21,6.6059
1992-05-22,6.5836
1992-05-25,.
1992-05-26,6.6743
1992-05-27,6.6548
1992-05-28,6.5858
1992-05-29,6.5301
1992-06-01,6.5811
1992-06-02,6.5446
1992-06-03,6.5208
1992-06-04,6.5151
1992-06-05,6.4644
1992-06-08,6.4494
1992-06-09,6.4771
1992-06-10,6.4857
1992-06-11,6.4582
1992-06-12,6.4014
1992-06-15,6.3822
1992-06-16,6.3441
1992-06-17,6.3156
1992-06-18,6.2748
1992-06-19,6.3170
1992-06-22,6.3153
1992-06-23,6.3469
1992-06-24,6.2947
1992-06-25,6.2039
1992-06-26,6.1953
1992-06-29,6.1634
1992-06-30,6.1663
1992-07-01,6.1430
1992-07-02,5.9317
1992-07-03,.
1992-07-06,5.8518
1992-07-07,5.7940
1992-07-08,5.7914
1992-07-09,5.7860
1992-07-10,5.7674
1992-07-13,5.7829
1992-07-14,5.7462
1992-07-15,5.6472
1992-07-16,5.6115
1992-07-17,5.6209
1992-07-20,5.6167
1992-07-21,5.6169
1992-07-22,5.5842
1992-07-23,5.4626
1992-07-24,5.4623
1992-07-27,5.4551
1992-07-28,5.4223
1992-07-29,5.4153
1992-07-30,5.5217
1992-07-31,5.6135
1992-08-03,5.6539
1992-08-04,5.5992
1992-08-05,5.5647
1992-08-06,5.5530
1992-08-07,5.4537
1992-08-10,5.3758
1992-08-11,5.3422
1992-08-12,5.3605
1992-08-13,5.4106
1992-08-14,5.3977
1992-08-17,5.4108
